room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
12534863,1076,61081652,Entire home/apt,,Barcelona,,Sants-Montjuïc,2,0.0,6,3.0,,1094.0,,Apartment near Plaza España 6pax,2017-04-15 22:23:11.476550,41.372144,2.147646,0101000020E6100000EC14AB06612E014089B3226AA2AF4440
6681997,1076,5729069,Entire home/apt,,Barcelona,,Eixample,0,0.0,16,10.0,,1203.0,,Apartments center of Barcelona,2017-04-15 22:23:11.473959,41.387243,2.169002,0101000020E610000032AB77B81D5A01406E4DBA2D91B14440
6956011,1076,36470275,Entire home/apt,,Barcelona,,Sarrià-Sant Gervasi,0,0.0,8,5.0,,1094.0,,Luxury Modern Villa in Barcelona,2017-04-15 22:23:11.470856,41.416049,2.109449,0101000020E6100000A5A31CCC26E000404A44F81741B54440
9432658,1076,48891239,Entire home/apt,,Barcelona,,Sant Martí,2,0.0,8,4.0,,1089.0,,Luxury Yacht.Port Olimpic Barcelona,2017-04-15 22:23:11.464310,41.385728,2.200731,0101000020E6100000D658C2DA189B01406493FC885FB14440
4200509,1076,21793560,Entire home/apt,,Barcelona,,Horta-Guinardó,3,5.0,16,8.0,,1214.0,,Villa Victoria Barcelona,2017-04-15 22:23:11.459117,41.427046,2.164543,0101000020E61000002C499EEBFB5001409DF17D71A9B64440
17724998,1076,4459553,Entire home/apt,,Barcelona,,Eixample,0,0.0,8,3.0,,1094.0,,Ref.2424 Plaza Catalunya Luxury Apartment 2-5,2017-04-15 22:23:11.457084,41.387811,2.171849,0101000020E61000006CCD565EF25F0140B80375CAA3B14440
17243431,1076,2579651,Entire home/apt,,Barcelona,,Eixample,0,0.0,6,3.0,,1094.0,,Luxury apartments & SPA next to Sagrada Familia,2017-04-15 22:23:11.454902,41.403793,2.171804,0101000020E61000006C938AC6DA5F014047AD307DAFB34440
12533035,1076,61081652,Entire home/apt,,Barcelona,,Sants-Montjuïc,4,5.0,4,2.0,,1094.0,,Apartment near Plaza España 4pax,2017-04-15 22:23:11.452097,41.372273,2.14893,0101000020E610000070253B3602310140871744A4A6AF4440
16436541,1076,375625,Entire home/apt,,Barcelona,,Sant Martí,2,0.0,5,2.0,,1094.0,,Lugaris Rambla Apartamento Familiar,2017-04-15 22:23:11.449935,41.397976,2.205927,0101000020E61000003AE8120EBDA50140E44BA8E0F0B24440
17726179,1076,4459553,Entire home/apt,,Barcelona,,Eixample,0,0.0,10,4.0,,1094.0,,2428 - Plaza Cataluña Luxury Apartment 1-2,2017-04-15 22:23:11.447790,41.38806,2.170989,0101000020E610000053CE177B2F5E0140617138F3ABB14440
10557000,1076,23839387,Entire home/apt,,Barcelona,,Eixample,0,0.0,3,2.0,,1039.0,,Luxury Loft Rambla Cataluña,2017-04-15 22:23:11.445258,41.392872,2.160701,0101000020E6100000D9791B9B1D490140CEC133A149B24440
12534624,1076,61081652,Entire home/apt,,Barcelona,,Sants-Montjuïc,5,5.0,5,3.0,,1094.0,,Apartment Plaza España 5pax 3rooms,2017-04-15 22:23:11.441744,41.372904,2.14975,0101000020E6100000A69BC420B032014017467A51BBAF4440
5494667,1076,26888295,Entire home/apt,,Barcelona,,Eixample,13,5.0,8,3.0,,1072.0,,Centric Luxury Flat with Terrace,2017-04-15 22:23:11.438062,41.394275,2.169996,0101000020E6100000459BE3DC265C0140B1506B9A77B24440
13873254,1076,82057906,Entire home/apt,,Barcelona,,Eixample,1,0.0,6,4.0,,1312.0,,Extraordinary loft up 6/7 pax close Paseo d Gracia,2017-04-15 22:23:11.435515,41.394358,2.153457,0101000020E6100000F9BCE2A9473A01403E75AC527AB24440
17711373,1076,21726991,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,8,4.0,,1030.0,,LUXURY FLAT TERRACE AND SEA VIEWS,2017-04-15 22:23:09.836231,41.406072,2.214278,0101000020E6100000B0045262D7B6014021E9D32AFAB34440
11637038,1076,10730981,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,3.0,,820.0,,Bright Apartment Ocean Views,2017-04-15 22:23:09.833238,41.408164,2.217467,0101000020E610000082ACA7565FBD0140C8B3CBB73EB44440
12977142,1076,23226762,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,3.0,,874.0,,Spectacular sea view penthouse,2017-04-15 22:23:09.830033,41.415096,2.208452,0101000020E61000004D49D6E1E8AA0140A759A0DD21B54440
3108830,1076,10730981,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,8,4.0,,765.0,,Penthouse Selva De Mar,2017-04-15 22:23:09.827142,41.40385,2.214789,0101000020E61000000953944BE3B70140AB3E575BB1B34440
18094862,1076,26165888,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,8,4.0,,973.0,,LUXURY FLAT TERRACE AND SEA VIEWS,2017-04-15 22:23:09.824673,41.402383,2.212043,0101000020E61000000DC4B29943B20140B2BB404981B34440
839805,1076,4386966,Entire home/apt,,Barcelona,,Sant Martí,2,0.0,8,4.0,,874.0,,MEDITERRANEAN TERRACE,2017-04-15 22:23:09.820079,41.403826,2.214303,0101000020E61000003E7AC37DE4B6014023A30392B0B34440
2036372,1076,5729069,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,6,3.0,,765.0,,1302 - PERFECT BEACHFRONT APARTMENT,2017-04-15 22:23:09.815447,41.407948,2.216456,0101000020E61000000E2F88484DBB0140FB3BDBA337B44440
